癌症診斷年,性別,縣市別,癌症別,年齡標準化發生率  WHO 2000世界標準人口 (每10萬人口) ,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
1998,男,基隆市,鼻咽,9.61,21,43.9,40,10.69
1998,男,新竹市,鼻咽,9.51,17,49.47,48,9.32
1998,男,嘉義市,鼻咽,5.63,8,51.25,46.5,6.04
1998,男,新北市,鼻咽,9.19,153,47.95,46,8.74
1998,男,桃園市,鼻咽,10.7,81,45.52,45,9.51
1998,男,新竹縣,鼻咽,9.18,20,51.2,53,8.9
1998,男,宜蘭縣,鼻咽,12.31,30,52.6,52,12.43
1998,男,苗栗縣,鼻咽,8.26,25,53.84,57,8.49
1998,男,彰化縣,鼻咽,9.73,67,49.88,47,9.92
1998,男,南投縣,鼻咽,9.96,30,52.37,55,10.51
1998,男,雲林縣,鼻咽,7.26,31,50.35,48,7.83
1998,男,嘉義縣,鼻咽,9.27,31,51.03,52,10.38
1998,男,屏東縣,鼻咽,9.78,51,50,48,10.71
1998,男,澎湖縣,鼻咽,6.44,4,49.25,51.5,8.52
1998,男,花蓮縣,鼻咽,9.08,19,49.95,47,10.02
1998,男,台東縣,鼻咽,4.93,7,47.57,46,5.2
1998,男,金門縣,鼻咽,3.8,1,44,44,3.79
1998,男,連江縣,鼻咽,49.24,2,42,42,53.46
1998,女,台閩地區,鼻咽,3.63,399,48.92,47,3.73
1998,女,台北市,鼻咽,3.26,49,51.8,49,3.69
1998,女,台中市,鼻咽,3.39,40,43.48,42.5,3.4
1998,女,台南市,鼻咽,3.52,32,49.22,52.5,3.6
1998,女,高雄市,鼻咽,3.3,46,47.41,47.5,3.51
1998,女,基隆市,鼻咽,3.1,7,42.71,41,3.77
1998,女,新竹市,鼻咽,3.2,6,47.83,45.5,3.45
1998,女,嘉義市,鼻咽,1.4,2,60.5,60.5,1.53
1998,女,新北市,鼻咽,3.74,58,51.95,51.5,3.4
1998,女,桃園市,鼻咽,4.14,31,49.84,47,3.88
1998,女,新竹縣,鼻咽,3.14,6,58.33,57.5,2.95
1998,女,宜蘭縣,鼻咽,6.86,15,49.73,51,6.69
1998,女,苗栗縣,鼻咽,4.08,11,49,54,4.14
1998,女,彰化縣,鼻咽,3.94,24,47.88,48.5,3.83
1998,女,南投縣,鼻咽,4.17,12,46.08,41.5,4.61
1998,女,雲林縣,鼻咽,1.97,8,52.63,56.5,2.27
1998,女,嘉義縣,鼻咽,3.3,10,53.7,55,3.74
1998,女,屏東縣,鼻咽,4.73,22,48.82,44.5,5.07
1998,女,澎湖縣,鼻咽,7.17,3,38.67,38,7.05
1998,女,花蓮縣,鼻咽,4.12,7,45.71,52,4.19
1998,女,台東縣,鼻咽,6.84,8,43.63,42,6.94
1999,不分男女,台閩地區,鼻咽,6.18,1423,49.82,48,6.44
1999,不分男女,台北市,鼻咽,5.57,168,49.71,47,6.36
1999,不分男女,台中市,鼻咽,5.4,129,47.86,45,5.33
1999,不分男女,台南市,鼻咽,5.82,116,50.75,48.5,6.33
1999,不分男女,高雄市,鼻咽,7.57,211,50.15,49,7.8
1999,不分男女,基隆市,鼻咽,7.17,29,49.62,48,7.53
1999,不分男女,新竹市,鼻咽,5.49,22,45.23,44,6.08
1999,不分男女,嘉義市,鼻咽,5.67,15,52,51,5.66
1999,不分男女,新北市,鼻咽,6.52,229,48.4,46,6.52
1999,不分男女,桃園市,鼻咽,6.47,109,48.56,46,6.44
1999,不分男女,新竹縣,鼻咽,6.22,26,47.35,45.5,5.99
1999,不分男女,宜蘭縣,鼻咽,5.79,29,57.62,58,6.24
1999,不分男女,苗栗縣,鼻咽,7.42,44,51.16,49.5,7.86
1999,不分男女,彰化縣,鼻咽,5.18,69,48.9,47,5.28
1999,不分男女,南投縣,鼻咽,4.69,28,49.57,48,5.15
1999,不分男女,雲林縣,鼻咽,4.86,41,52.15,57,5.49
1999,不分男女,嘉義縣,鼻咽,5.01,34,56.15,60.5,6.04
1999,不分男女,屏東縣,鼻咽,8.2,80,49.89,49.5,8.8
1999,不分男女,澎湖縣,鼻咽,3.78,4,56,59.5,4.49
1999,不分男女,花蓮縣,鼻咽,6.82,26,55.77,56.5,7.31
1999,不分男女,台東縣,鼻咽,4.68,12,49.33,50.5,4.84
1999,不分男女,金門縣,鼻咽,4.11,2,42.5,42.5,3.87
1999,男,台閩地區,鼻咽,8.78,1032,49.95,48,9.12
1999,男,台北市,鼻咽,8.35,121,50.12,48,9.24
1999,男,台中市,鼻咽,7.83,94,48.57,46,7.66
1999,男,台南市,鼻咽,7.76,82,50.73,46.5,8.74
1999,男,高雄市,鼻咽,10.68,150,50.16,50,10.82
1999,男,基隆市,鼻咽,8.75,18,48.56,47.5,9.1
1999,男,新竹市,鼻咽,8.81,18,45.61,44.5,9.73
1999,男,嘉義市,鼻咽,9.9,13,52.92,51,9.74
1999,男,新北市,鼻咽,9.19,163,48.05,45,9.18
1999,男,桃園市,鼻咽,8.39,75,47.37,45,8.61
1999,男,新竹縣,鼻咽,8.63,20,46.05,43,8.79
1999,男,宜蘭縣,鼻咽,9.81,25,57.6,58,10.39
1999,男,苗栗縣,鼻咽,10.44,33,52.64,54,11.22
1999,男,彰化縣,鼻咽,7.29,51,48.47,46,7.53
1999,男,南投縣,鼻咽,8.02,25,51.84,51,8.8
1999,男,雲林縣,鼻咽,6.27,28,54.46,58,7.09
1999,男,嘉義縣,鼻咽,6.95,24,55.54,58,8.08
1999,男,屏東縣,鼻咽,11.68,60,51.27,50,12.63
1999,男,澎湖縣,鼻咽,2.44,2,69,69,4.28
1999,男,花蓮縣,鼻咽,10.68,21,53.52,53,11.14
1999,男,台東縣,鼻咽,5.46,7,46.29,50,5.25
1999,男,金門縣,鼻咽,8.35,2,42.5,42.5,7.51
1999,女,台閩地區,鼻咽,3.51,391,49.45,49,3.63
1999,女,台北市,鼻咽,2.96,47,48.68,47,3.53
1999,女,台中市,鼻咽,2.93,35,45.94,43,2.93
1999,女,台南市,鼻咽,3.75,34,50.79,50,3.81
1999,女,高雄市,鼻咽,4.44,61,50.11,48,4.62
1999,女,基隆市,鼻咽,5.63,11,51.36,52,5.87
1999,女,新竹市,鼻咽,2.07,4,43.5,40,2.26
1999,女,嘉義市,鼻咽,1.52,2,46,46,1.52
1999,女,新北市,鼻咽,3.95,66,49.27,49,3.8
1999,女,桃園市,鼻咽,4.53,34,51.18,49,4.14
1999,女,新竹縣,鼻咽,3.47,6,51.67,50,2.91
1999,女,宜蘭縣,鼻咽,1.59,4,57.75,62,1.78
1999,女,苗栗縣,鼻咽,4.16,11,46.73,48,4.14
1999,女,彰化縣,鼻咽,2.9,18,50.11,51.5,2.86
1999,女,南投縣,鼻咽,1.14,3,30.67,30,1.15
1999,女,雲林縣,鼻咽,3.38,13,47.15,52,3.7
1999,女,嘉義縣,鼻咽,2.91,10,57.6,64.5,3.76
1999,女,屏東縣,鼻咽,4.41,20,45.75,44.5,4.61
1999,女,澎湖縣,鼻咽,5.29,2,43,43,4.73
1999,女,花蓮縣,鼻咽,2.85,5,65.2,69,2.99
1999,女,台東縣,鼻咽,3.95,5,53.6,56,4.37
2000,不分男女,台閩地區,鼻咽,6.15,1448,49.63,48,6.5
2000,不分男女,台北市,鼻咽,4.98,156,50.79,49,5.89
2000,不分男女,台中市,鼻咽,6.47,155,50.04,49,6.3
2000,不分男女,台南市,鼻咽,6.81,139,49.96,46,7.54
2000,不分男女,高雄市,鼻咽,6.73,197,48.63,47,7.23
2000,不分男女,基隆市,鼻咽,5.25,21,55.24,57,5.41
2000,不分男女,新竹市,鼻咽,3.54,14,47.29,45,3.8
2000,不分男女,嘉義市,鼻咽,6.62,19,47.26,46,7.14
2000,不分男女,新北市,鼻咽,6.58,237,48.43,48,6.64
2000,不分男女,桃園市,鼻咽,5.51,93,46.71,46,5.37
2000,不分男女,新竹縣,鼻咽,4.24,19,48,48,4.32
2000,不分男女,宜蘭縣,鼻咽,5.51,28,57.18,60,6.02
2000,不分男女,苗栗縣,鼻咽,5.61,34,48.85,47.5,6.07
2000,不分男女,彰化縣,鼻咽,6.39,85,50.04,50,6.49
2000,不分男女,南投縣,鼻咽,5.14,30,49.37,50,5.54
2000,不分男女,雲林縣,鼻咽,5.05,41,51.71,49,5.52
2000,不分男女,嘉義縣,鼻咽,6.18,41,53.24,55,7.29
2000,不分男女,屏東縣,鼻咽,7.99,79,48.41,48,8.7
2000,不分男女,澎湖縣,鼻咽,3.31,4,62.75,63.5,4.47
2000,不分男女,花蓮縣,鼻咽,6.9,27,51.44,55,7.64
2000,不分男女,台東縣,鼻咽,9.19,25,49.68,45,10.19
2000,不分男女,金門縣,鼻咽,3.26,2,44.5,44.5,3.72
2000,不分男女,連江縣,鼻咽,30.77,2,52,52,29.7
2000,男,台閩地區,鼻咽,8.99,1072,49.82,48,9.41
2000,男,台北市,鼻咽,6.63,101,50.55,49,7.71
2000,男,台中市,鼻咽,9.86,118,49.79,49,9.48
2000,男,台南市,鼻咽,9.38,98,51.38,47.5,10.4
2000,男,高雄市,鼻咽,9.44,142,48.46,46,10.18
2000,男,基隆市,鼻咽,8.87,18,53.56,54,9.04
2000,男,新竹市,鼻咽,6.96,14,47.29,45,7.45
2000,男,嘉義市,鼻咽,8.6,12,49.42,49,8.97
2000,男,新北市,鼻咽,9.81,177,48.16,48,9.82
2000,男,桃園市,鼻咽,8.27,70,45.57,45,7.86
2000,男,新竹縣,鼻咽,6.76,16,45,45,6.95
2000,男,宜蘭縣,鼻咽,8.99,23,58.22,61,9.56
2000,男,苗栗縣,鼻咽,7.82,25,51.08,48,8.5
2000,男,彰化縣,鼻咽,9.31,64,50.83,50,9.42
2000,男,南投縣,鼻咽,7.59,23,50.78,51,8.13
2000,男,雲林縣,鼻咽,7.5,32,51.53,49,8.14
2000,男,嘉義縣,鼻咽,9.58,34,53.21,53,11.45
2000,男,屏東縣,鼻咽,11.74,61,48.33,48,12.87
2000,男,澎湖縣,鼻咽,6.59,4,62.75,63.5,8.53
2000,男,花蓮縣,鼻咽,11.23,24,54.42,55.5,12.82
2000,男,台東縣,鼻咽,9.33,14,51.93,44.5,10.62
2000,男,金門縣,鼻咽,2.85,1,78,78,3.58
2000,男,連江縣,鼻咽,26.87,1,51,51,26.38
2000,女,台閩地區,鼻咽,3.27,376,49.07,49,3.45
2000,女,台北市,鼻咽,3.47,55,51.22,48,4.11
2000,女,台中市,鼻咽,3.13,37,50.84,49,3.04
2000,女,台南市,鼻咽,4.19,41,46.59,46,4.56
2000,女,高雄市,鼻咽,3.97,55,49.05,51,4.13
2000,女,基隆市,鼻咽,1.59,3,65.33,67,1.58
2000,女,嘉義市,鼻咽,4.81,7,43.57,40,5.29
2000,女,新北市,鼻咽,3.38,60,49.25,49.5,3.4
2000,女,桃園市,鼻咽,2.91,23,50.17,49,2.73
2000,女,新竹縣,鼻咽,1.45,3,64,62,1.43
2000,女,宜蘭縣,鼻咽,1.93,5,52.4,39,2.23
2000,女,苗栗縣,鼻咽,3.21,9,42.67,39,3.39
2000,女,彰化縣,鼻咽,3.3,21,47.62,49,3.33
2000,女,南投縣,鼻咽,2.57,7,44.71,41,2.71
2000,女,雲林縣,鼻咽,2.31,9,52.33,49,2.57
2000,女,嘉義縣,鼻咽,2.27,7,53.43,56,2.64
2000,女,屏東縣,鼻咽,3.88,18,48.67,50,4.15
2000,女,花蓮縣,鼻咽,1.82,3,27.67,33,1.8
2000,女,台東縣,鼻咽,8.8,11,46.82,45,9.69
2000,女,金門縣,鼻咽,4.32,1,11,11,3.86
2000,女,連江縣,鼻咽,36,1,53,53,33.99
2001,不分男女,台閩地區,鼻咽,5.93,1436,49.27,48,6.41
2001,不分男女,台北市,鼻咽,5.16,158,48.8,48,6
2001,不分男女,台中市,鼻咽,6.07,154,49.4,47,6.19
2001,不分男女,台南市,鼻咽,5.52,113,49.24,47,6.11
2001,不分男女,高雄市,鼻咽,6.02,180,49.46,48,6.59
2001,不分男女,基隆市,鼻咽,5.89,26,46.73,45,6.65
2001,不分男女,新竹市,鼻咽,4.4,18,47.11,45,4.82
2001,不分男女,嘉義市,鼻咽,6.02,17,50.12,51,6.34
2001,不分男女,新北市,鼻咽,6.56,251,47.2,45,6.95
2001,不分男女,桃園市,鼻咽,6.99,113,51.81,50,6.41
2001,不分男女,新竹縣,鼻咽,3.94,19,51.26,49,4.26
2001,不分男女,宜蘭縣,鼻咽,7.28,37,50.59,48,7.94
2001,不分男女,苗栗縣,鼻咽,6.43,38,47.24,47.5,6.78
2001,不分男女,彰化縣,鼻咽,6.11,85,49.19,47,6.47
2001,不分男女,南投縣,鼻咽,6.56,39,50.15,49,7.2
2001,不分男女,雲林縣,鼻咽,4.42,36,47.11,45.5,4.84
2001,不分男女,嘉義縣,鼻咽,4.83,33,56.48,56,5.86
2001,不分男女,屏東縣,鼻咽,6.52,65,49.89,49,7.15
2001,不分男女,澎湖縣,鼻咽,3.93,4,50.75,50,4.34
2001,不分男女,花蓮縣,鼻咽,6.33,25,52,52,7.08
2001,不分男女,台東縣,鼻咽,7.03,19,50.32,50,7.77
2001,不分男女,金門縣,鼻咽,7.6,5,53.2,50,8.78
2001,不分男女,連江縣,鼻咽,7.61,1,44,44,11.3
2001,男,台閩地區,鼻咽,8.58,1042,49.63,48,9.11
2001,男,台北市,鼻咽,7.85,116,48.83,48,8.92
2001,男,台中市,鼻咽,9.42,119,49.97,48,9.48
2001,男,台南市,鼻咽,8.06,84,49.01,47,8.9
2001,男,高雄市,鼻咽,8.7,131,50.15,49,9.38
2001,男,基隆市,鼻咽,7.65,18,46.28,45,9
2001,男,新竹市,鼻咽,7.82,16,47,45,8.42
2001,男,嘉義市,鼻咽,8.41,12,52.83,52,8.91
2001,男,新北市,鼻咽,9.08,168,48.34,48,9.23
2001,男,桃園市,鼻咽,9.58,77,51.44,50,8.51
2001,男,新竹縣,鼻咽,5.77,14,47.93,48,6
2001,男,宜蘭縣,鼻咽,10.23,27,51.04,48,11.23
2001,男,苗栗縣,鼻咽,8.5,27,48.59,47,9.18
2001,男,彰化縣,鼻咽,9.34,66,47.85,46.5,9.7
2001,男,南投縣,鼻咽,9.86,30,49.93,49.5,10.61
2001,男,雲林縣,鼻咽,6.84,30,47.63,46.5,7.64
2001,男,嘉義縣,鼻咽,6.25,22,58.36,56.5,7.41
2001,男,屏東縣,鼻咽,8.67,45,50.76,52,9.5
2001,男,澎湖縣,鼻咽,5.77,3,53.33,57,6.24
2001,男,花蓮縣,鼻咽,8.58,18,51.67,48.5,9.66
2001,男,台東縣,鼻咽,10.66,15,52.53,51,11.45
2001,男,金門縣,鼻咽,11.87,4,56.5,59.5,13.47
2001,女,台閩地區,鼻咽,3.25,394,48.31,46,3.59
2001,女,台北市,鼻咽,2.61,42,48.74,48.5,3.15
2001,女,台中市,鼻咽,2.73,35,47.43,45,2.84
2001,女,台南市,鼻咽,2.88,29,49.9,48,3.21
2001,女,高雄市,鼻咽,3.27,49,47.59,44,3.67
2001,女,基隆市,鼻咽,4.05,8,47.75,50,4.19
2001,女,新竹市,鼻咽,0.99,2,48,48,1.09
2001,女,嘉義市,鼻咽,3.67,5,43.6,49,3.75
2001,女,新北市,鼻咽,4.1,83,44.9,43,4.64
2001,女,桃園市,鼻咽,4.54,36,52.58,51.5,4.2
2001,女,新竹縣,鼻咽,1.94,5,60.6,70,2.35
2001,女,宜蘭縣,鼻咽,4.18,10,49.4,48,4.44
2001,女,苗栗縣,鼻咽,4.11,11,43.91,49,4.13
2001,女,彰化縣,鼻咽,2.61,19,53.84,49,3
2001,女,南投縣,鼻咽,2.97,9,50.89,45,3.47
2001,女,雲林縣,鼻咽,1.66,6,44.5,39.5,1.71
2001,女,嘉義縣,鼻咽,3.45,11,52.73,54,4.13
2001,女,屏東縣,鼻咽,4.24,20,47.95,47,4.59
2001,女,澎湖縣,鼻咽,2.13,1,43,43,2.26
2001,女,花蓮縣,鼻咽,3.85,7,52.86,53,4.2
2001,女,台東縣,鼻咽,3.37,4,42,38.5,3.52
2001,女,金門縣,鼻咽,3.74,1,40,40,3.67
2001,女,連江縣,鼻咽,18.7,1,44,44,26.34
2002,不分男女,台閩地區,鼻咽,5.67,1413,49.8,48,6.27
2002,不分男女,台北市,鼻咽,5.7,177,49.15,47,6.7
2002,不分男女,台中市,鼻咽,5.59,149,45.65,45,5.94
2002,不分男女,台南市,鼻咽,6.21,130,49.2,48,7.02
2002,不分男女,高雄市,鼻咽,4.97,153,50.95,48,5.58
2002,不分男女,基隆市,鼻咽,8.71,40,50.98,49,10.22
2002,不分男女,新竹市,鼻咽,5.58,22,48.27,49,5.81
2002,不分男女,嘉義市,鼻咽,4.02,12,55.75,53,4.48
2002,不分男女,新北市,鼻咽,6.75,263,49.83,48,7.22
2002,不分男女,桃園市,鼻咽,5.83,102,50.13,50,5.69
2002,不分男女,新竹縣,鼻咽,6.37,31,54.06,50,6.85
2002,不分男女,宜蘭縣,鼻咽,5.3,28,56.04,60.5,6.03
2002,不分男女,苗栗縣,鼻咽,4.35,27,52.37,50,4.81
2002,不分男女,彰化縣,鼻咽,4.9,68,50.62,50.5,5.17
2002,不分男女,南投縣,鼻咽,4.87,29,49.72,48,5.36
2002,不分男女,雲林縣,鼻咽,3.48,30,51.6,51.5,4.04
2002,不分男女,嘉義縣,鼻咽,5.3,35,50.34,50,6.22
2002,不分男女,屏東縣,鼻咽,6.55,68,49.93,46.5,7.5
2002,不分男女,澎湖縣,鼻咽,3.26,3,48.67,49,3.25
2002,不分男女,花蓮縣,鼻咽,6.43,27,53.33,49,7.67
2002,不分男女,台東縣,鼻咽,6.58,18,45,43.5,7.38
2002,不分男女,金門縣,鼻咽,1.76,1,39,39,1.7
2002,男,台閩地區,鼻咽,8.65,1082,50.08,48,9.42
2002,男,台北市,鼻咽,8.82,130,49.93,48,9.99
2002,男,台中市,鼻咽,8.41,111,46.55,45,8.77
2002,男,台南市,鼻咽,8.79,94,48.16,47.5,9.94
2002,男,高雄市,鼻咽,7.55,118,50.84,48,8.43
2002,男,基隆市,鼻咽,12.94,30,52.07,49,15
2002,男,新竹市,鼻咽,9.6,18,50.28,50.5,9.35
2002,男,嘉義市,鼻咽,6.93,10,54.9,51.5,7.45
2002,男,新北市,鼻咽,10.98,212,50.18,48,11.55
2002,男,桃園市,鼻咽,8.22,71,49.44,49,7.73
2002,男,新竹縣,鼻咽,10.42,27,55.22,51,11.43
2002,男,宜蘭縣,鼻咽,8.01,21,56.67,60,8.77
2002,男,苗栗縣,鼻咽,5.46,18,51.83,50,6.12
2002,男,彰化縣,鼻咽,7.31,53,50.87,50,7.78
2002,男,南投縣,鼻咽,8.16,25,49.32,48,8.86
2002,男,雲林縣,鼻咽,5.27,24,53.46,52.5,6.13
2002,男,嘉義縣,鼻咽,7.55,27,50.78,51,9.11
2002,男,屏東縣,鼻咽,10.51,57,49.96,47,12.08
2002,男,花蓮縣,鼻咽,9.66,22,54.5,49.5,11.86
2002,男,台東縣,鼻咽,9,13,42.77,42,9.97
2002,男,金門縣,鼻咽,3.07,1,39,39,3.25
2002,女,台閩地區,鼻咽,2.66,331,48.87,47,3
2002,女,台北市,鼻咽,2.88,47,46.98,45,3.51
2002,女,台中市,鼻咽,2.79,38,43.03,42,3.06
2002,女,台南市,鼻咽,3.51,36,51.92,51,3.97
2002,女,高雄市,鼻咽,2.34,35,51.31,47,2.61
2002,女,基隆市,鼻咽,4.29,10,47.7,46,5.22
2002,女,新竹市,鼻咽,1.71,4,39.25,40,2.15
2002,女,嘉義市,鼻咽,1.28,2,60,60,1.5
2002,女,新北市,鼻咽,2.55,51,48.35,47,2.82
2002,女,桃園市,鼻咽,3.67,31,51.71,50,3.55
2002,女,新竹縣,鼻咽,1.87,4,46.25,48,1.85
2002,女,宜蘭縣,鼻咽,2.63,7,54.14,61,3.12
2002,女,苗栗縣,鼻咽,3.09,9,53.44,50,3.38
2002,女,彰化縣,鼻咽,2.34,15,49.73,51,2.36
2002,女,南投縣,鼻咽,1.3,4,52.25,48.5,1.54
2002,女,雲林縣,鼻咽,1.61,6,44.17,40.5,1.71
2002,女,嘉義縣,鼻咽,2.77,8,48.88,49,3.01
2002,女,屏東縣,鼻咽,2.22,11,49.73,42,2.53
2002,女,澎湖縣,鼻咽,6.91,3,48.67,49,6.77
2002,女,花蓮縣,鼻咽,2.66,5,48.2,46,3
2002,女,台東縣,鼻咽,3.88,5,50.8,44,4.4
2003,不分男女,台閩地區,鼻咽,5.83,1488,50.12,48.5,6.58
2003,不分男女,台北市,鼻咽,5.37,170,51.42,50,6.47
2003,不分男女,台中市,鼻咽,6.18,166,47.08,46.5,6.56
2003,不分男女,台南市,鼻咽,5.94,130,51.42,49,7
2003,不分男女,高雄市,鼻咽,6,189,50.89,49,6.88
2003,不分男女,基隆市,鼻咽,6.09,27,56.93,57,6.88
2003,不分男女,新竹市,鼻咽,6.94,30,55.27,49,7.84
2003,不分男女,嘉義市,鼻咽,4.48,14,49,46.5,5.19
2003,不分男女,新北市,鼻咽,5.13,206,47.52,45.5,5.6
2003,不分男女,桃園市,鼻咽,5.73,109,48.56,48,5.98
2003,不分男女,新竹縣,鼻咽,5.81,27,46.59,46,5.88
2003,不分男女,宜蘭縣,鼻咽,6.48,35,53.94,51,7.55
2003,不分男女,苗栗縣,鼻咽,6.33,40,52.88,55.5,7.13
2003,不分男女,彰化縣,鼻咽,5.91,85,49.59,50,6.46
2003,不分男女,南投縣,鼻咽,6.38,40,54.85,52,7.4
2003,不分男女,雲林縣,鼻咽,5.84,48,48.4,47,6.48
2003,不分男女,嘉義縣,鼻咽,6.35,43,51.67,51,7.67
2003,不分男女,屏東縣,鼻咽,7.2,77,50.45,48,8.52
2003,不分男女,澎湖縣,鼻咽,9.64,11,54.73,53,11.92
2003,不分男女,花蓮縣,鼻咽,4.56,19,51.63,50,5.41
2003,不分男女,台東縣,鼻咽,6.82,19,49,47,7.82
2003,不分男女,金門縣,鼻咽,2.76,2,48.5,48.5,3.28
2003,不分男女,連江縣,鼻咽,8.45,1,41,41,11.36
2003,男,台閩地區,鼻咽,8.88,1141,50.44,49,9.91
2003,男,台北市,鼻咽,8.13,125,51.78,50,9.68
2003,男,台中市,鼻咽,9.23,123,47.31,47,9.65
2003,男,台南市,鼻咽,9.53,104,52.04,51,10.99
2003,男,高雄市,鼻咽,9.42,150,51.29,49,10.71
2003,男,基隆市,鼻咽,6.94,16,58.19,57.5,7.99
2003,男,新竹市,鼻咽,11.71,25,55.6,49,12.87
2003,男,嘉義市,鼻咽,7.03,11,50.27,48,8.15
2003,男,新北市,鼻咽,8.02,157,47.95,46,8.48
2003,男,桃園市,鼻咽,8.87,83,49.25,48,8.91
2003,男,新竹縣,鼻咽,7.15,18,49.17,47.5,7.52
2003,男,宜蘭縣,鼻咽,10.59,29,53.69,51,12.14
2003,男,苗栗縣,鼻咽,10.09,33,53.33,56,11.22
2003,男,彰化縣,鼻咽,9.58,71,49.18,49,10.42
2003,男,南投縣,鼻咽,9.71,31,54.68,51,11.01
2003,男,雲林縣,鼻咽,7.53,34,47.97,46,8.71
2003,男,嘉義縣,鼻咽,8.69,31,51.32,48,10.5
2003,男,屏東縣,鼻咽,10.59,59,49.78,47,12.55
2003,男,澎湖縣,鼻咽,15.74,9,54.11,53,18.77
2003,男,花蓮縣,鼻咽,6.46,14,51.57,51,7.58
2003,男,台東縣,鼻咽,11.02,16,50.69,50,12.37
2003,男,金門縣,鼻咽,5.97,2,48.5,48.5,6.24
2003,女,台閩地區,鼻咽,2.75,347,49.06,47,3.13
2003,女,台北市,鼻咽,2.83,45,50.44,50,3.37
2003,女,台中市,鼻咽,3.2,43,46.42,46,3.43
2003,女,台南市,鼻咽,2.32,26,48.92,46.5,2.86
2003,女,高雄市,鼻咽,2.58,39,49.33,47,2.9
2003,女,基隆市,鼻咽,5.16,11,55.09,55,5.73
2003,女,新竹市,鼻咽,2.26,5,53.6,48,2.65
2003,女,嘉義市,鼻咽,2.02,3,44.33,34,2.23
2003,女,新北市,鼻咽,2.35,49,46.16,45,2.68
2003,女,桃園市,鼻咽,2.68,26,46.35,47.5,2.92
2003,女,新竹縣,鼻咽,4.25,9,41.44,39,4.09
2003,女,宜蘭縣,鼻咽,2.19,6,55.17,56,2.67
2003,女,苗栗縣,鼻咽,2.23,7,50.71,48,2.62
2003,女,彰化縣,鼻咽,2.01,14,51.64,51.5,2.2
2003,女,南投縣,鼻咽,2.81,9,55.44,53,3.48
2003,女,雲林縣,鼻咽,3.67,14,49.43,50.5,4
2003,女,嘉義縣,鼻咽,3.71,12,52.58,52,4.53
2003,女,屏東縣,鼻咽,3.41,18,52.67,50,4.15
2003,女,澎湖縣,鼻咽,3.2,2,57.5,57.5,4.51
2003,女,花蓮縣,鼻咽,2.46,5,51.8,49,3
2003,女,台東縣,鼻咽,2.42,3,40,40,2.64
2003,女,連江縣,鼻咽,23,1,41,41,26.39
2004,不分男女,台閩地區,鼻咽,5.86,1527,49.79,48,6.73
2004,不分男女,台北市,鼻咽,4.42,144,52.48,51,5.49
2004,不分男女,台中市,鼻咽,5.28,146,47.32,45,5.73
2004,不分男女,台南市,鼻咽,5.99,131,51.62,52,7.04
2004,不分男女,高雄市,鼻咽,6.33,206,48.4,47,7.49
2004,不分男女,基隆市,鼻咽,5.13,24,47.92,48,6.12
2004,不分男女,新竹市,鼻咽,6.38,27,46,46,6.98
2004,不分男女,嘉義市,鼻咽,4.69,15,51.47,46,5.55
2004,不分男女,新北市,鼻咽,5.27,221,49.15,47,5.96
2004,不分男女,桃園市,鼻咽,6.54,126,49.77,48,6.8
2004,不分男女,新竹縣,鼻咽,6.71,34,48.47,47.5,7.28
2004,不分男女,宜蘭縣,鼻咽,8.25,45,55.51,56,9.73
2004,不分男女,苗栗縣,鼻咽,6.69,42,50.55,51,7.49
2004,不分男女,彰化縣,鼻咽,6.31,93,51.16,49,7.06
2004,不分男女,南投縣,鼻咽,6.88,43,48.6,47,7.99
2004,不分男女,雲林縣,鼻咽,4.43,39,52.08,50,5.29
2004,不分男女,嘉義縣,鼻咽,5.94,39,50.74,47,6.99
2004,不分男女,屏東縣,鼻咽,7.77,80,47.06,47,8.89
2004,不分男女,澎湖縣,鼻咽,11.93,12,50.33,55,13.07
2004,不分男女,花蓮縣,鼻咽,5.42,23,53.91,53,6.59
2004,不分男女,台東縣,鼻咽,12.13,34,49.44,49,14.14
2004,不分男女,金門縣,鼻咽,4.31,3,39.67,40,4.65
2004,男,台閩地區,鼻咽,8.83,1151,50.04,48,9.97
2004,男,台北市,鼻咽,6.95,107,52.83,51,8.32
2004,男,台中市,鼻咽,7.8,106,47.42,45,8.26
2004,男,台南市,鼻咽,9.29,102,52.36,52,10.77
2004,男,高雄市,鼻咽,9.56,155,48.29,47,11.07
2004,男,基隆市,鼻咽,6.39,15,50.4,49,7.5
2004,男,新竹市,鼻咽,9.62,20,47.65,46,10.23
2004,男,嘉義市,鼻咽,6.25,10,47.7,45,7.41
2004,男,新北市,鼻咽,7.91,163,50.04,48,8.74
2004,男,桃園市,鼻咽,8.61,84,51.17,48.5,8.88
2004,男,新竹縣,鼻咽,9.98,27,48.56,47,11.1
2004,男,宜蘭縣,鼻咽,12.66,35,55.97,56,14.7
2004,男,苗栗縣,鼻咽,10.93,36,49.33,50.5,12.25
2004,男,彰化縣,鼻咽,10,75,51.69,51,11.02
2004,男,南投縣,鼻咽,9.81,32,47.88,45,11.42
2004,男,雲林縣,鼻咽,6.15,29,52.41,50,7.47
2004,男,嘉義縣,鼻咽,8.1,29,47.14,45,9.87
2004,男,屏東縣,鼻咽,13.16,70,47.14,47.5,14.96
2004,男,澎湖縣,鼻咽,23.56,12,50.33,55,25.2
2004,男,花蓮縣,鼻咽,8.1,18,53.83,53.5,9.83
